id,role,name,userid,psword,clearance,status,deleted_on,deleted_by,UserName,email,phoneNo,Role,Clearance,groups,Passwords,Status
1111,admin,pb,pb,pb,3,inactive,2024-04-05 11:24:01.498137,pb,,,,,,,,
1111,admin,pb,pb,pb,3,Active,2024-04-05 11:35:35.243340,pb,,,,,,,,
1712298560,admin,on,on,on,3,Active,2024-04-05 11:59:39.436833,pb,,,,,,,,
1712298560,admin,on,on,on,3,Active,2024-04-05 11:59:39.436833,pb,,,,,,,,
1712298381,admin,,,,3,Active,2024-04-05 11:59:44.918675,pb,,,,,,,,
1111,admin,pb,pb,pb,1,Active,2024-04-05 12:00:41.284620,pb,,,,,,,,
2222,approver,jk,jk,jk,2,inactive,2024-04-05 15:01:27.700870,on,,,,,,,,
1712298671,admin,vc,vc,vc,3,inactive,2024-04-05 15:07:01.758743,on,,,,,,,,
1712309993,maker,vc,vc,vc,1,Active,2024-04-05 15:10:06.893799,on,,,,,,,,
1712310593,approver,Jyoti Bhopale,j,j,2,Active,2024-04-05 15:22:50.423449,on,,,,,,,,
1712309977,approver,jk,jk,jk,2,Active,2024-04-05 15:22:53.828988,on,,,,,,,,
1712299115,approver,pb,pb,pb,2,Active,2024-04-05 15:24:24.056405,on,,,,,,,,
3333,maker,ak,ak,ak,1,inactive,2024-04-05 15:25:17.657922,on,,,,,,,,
1712310989,maker,jk,jk,jk,1,Active,2024-04-05 15:26:36.874903,on,,,,,,,,
1712310975,approver,vc,vc,vc,2,Active,2024-04-05 15:27:04.607341,on,,,,,,,,
1712310961,admin,df,df,df,3,Active,2024-04-05 15:29:23.058091,on,,,,,,,,
1712310949,maker,p,p,p,1,Active,2024-04-05 15:33:47.681187,on,,,,,,,,
1712310949,maker,p,p,p,1,Active,2024-04-05 15:33:47.681187,on,,,,,,,,
1712310937,approver,Bharati Bhopale,b,b,2,Active,2024-04-05 15:33:51.845626,on,,,,,,,,
1712310926,admin,Jyoti Bhopale,j,j,3,Active,2024-04-05 15:34:53.026549,on,,,,,,,,
1712311541,approver,Jyoti Bhopale,j,j,2,Active,2024-04-05 15:39:16.767842,on,,,,,,,,
1712311942,approver,Jyoti Bhopale,mn,mn,2,Active,2024-04-05 15:42:24.621911,on,,,,,,,,
1712384268,approver,klkl,klkl,klkl,2,Active,2024-04-06 12:34:52.701260,on,,,,,,,,
1712325912,maker,cbvh,fch,gh nhgf,1,Active,2024-04-06 12:34:54.113101,on,,,,,,,,
1712384873,maker,asassasa,sssaassas,assasasadasa,1,Active,2024-04-06 12:35:03.469579,on,,,,,,,,
1712384873,maker,asassasa,sssaassas,assasasadasa,1,Active,2024-04-06 12:35:03.469579,on,,,,,,,,
1712387371,admin,llllllllllllllllllll,lllllllllllllllll,lllllllllllllllllll,3,Active,2024-04-06 12:45:33.719382,on,,,,,,,,
1712387371,admin,llllllllllllllllllll,lllllllllllllllll,lllllllllllllllllll,3,Active,2024-04-06 12:45:33.719382,on,,,,,,,,
1712387189,maker,xfc,fdfgddf,fgghyjnmhbkhjj,1,Active,2024-04-06 12:45:36.833431,on,,,,,,,,
1712387189,maker,xfc,fdfgddf,fgghyjnmhbkhjj,1,Active,2024-04-06 12:45:36.833431,on,,,,,,,,
1712387118,approver,abc,abc,abc,2,Active,2024-04-06 12:45:38.220150,on,,,,,,,,
1712387118,approver,abc,abc,abc,2,Active,2024-04-06 12:45:38.220150,on,,,,,,,,
1712382019,approver,ss,ss,s,2,Active,2024-04-06 12:45:40.345001,on,,,,,,,,
1712323400,approver,fdd,dg,dggdfgfgfg,2,Active,2024-04-06 12:48:48.088156,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.930237,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.920152,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.915167,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.925623,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.933228,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.929214,on,,,,,,,,
1712319566,approver,xyz,xyz,abcd,2,Active,2024-04-06 16:13:25.942243,on,,,,,,,,
1712311927,approver,1111,111,111,2,inactive,2024-04-06 17:36:03.391597,df11,,,,,,,,
1712396595,approver,asret,aetyret,artttyrtertr,23333333,Active,2024-04-06 17:36:04.930002,df11,,,,,,,,
1712311913,maker,vc1,vc1,vc1,1,Active,2024-04-06 18:10:59.409407,dflkk,,,,,,,,
1712408609,admin,ankita,ankita,as,3,Active,2024-04-06 18:34:26.055321,dflkk,,,,,,,,
1712408609,admin,ankita,ankita,as,3,Active,2024-04-06 18:34:26.055321,dflkk,,,,,,,,
1712408609,admin,ankita,ankita,as,3,Active,2024-04-06 18:34:26.055321,dflkk,,,,,,,,
1,,,,,,,2024-06-07 11:01:57.299164,John1,John1,John123@gmail.com,9876543210,Admin,"[""alerts"",""roles""]","[""Admin"",""Maker""]",Speed@1234,Inactive
